Scene_Name,Q1,Q2,Q3,Q4
bedroom,HCI_9,HCI_9,HCI_9,HCI_9
bicycle,HCI_9,HCI_9,HCI_25,HCI_25
herbs,HCI_9,HCI_9,HCI_25,HCI_25
origami,HCI_9,HCI_9,HCI_9,HCI_13
